"first_last","province","gender","year_of_birth","year_of_death","year","exit_year","party","gen_cohort","year_range","years_total","sessions_total","start_year","age_start"
"ecker_janet","Ontario","f",1953,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,42
"eddy_ronald","Ontario","m",1931,NA,1990,1995,"Liberal","Silent","1925-1942",5,10,1990,59
"edighoffer_hugh","Ontario","m",1928,2019,1967,1990,"Liberal","Silent","1925-1942",23,46,1967,39
"elgie_bob","Ontario","m",1929,2013,1977,1985,"Progressice Conservative","Silent","1925-1942",8,16,1977,48
"elliot_walt","Ontario","m",1933,2020,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,54
"elliott_brenda","Ontario","f",1950,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,45
"elliott_christine","Ontario","f",1955,NA,2003,2024,"Progressice Conservative","Babyboom","1943-1960",21,42,2003,48
"elston_murray","Ontario","m",1949,NA,1981,1994,"Liberal","Babyboom","1943-1960",13,26,1981,32
"epp_herbert","Ontario","m",1934,2013,1977,1990,"Liberal","Silent","1925-1942",13,26,1977,43
"farnan_michael","Ontario","m",1941,NA,1987,1995,"CCF/NDP","Silent","1925-1942",8,16,1987,46
"faubert_frank","Ontario","m",1931,1999,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,56
"fawcett_joan","Ontario","f",1937,2015,1987,1995,"Liberal","Silent","1925-1942",8,16,1987,50
"fedeli_vic","Ontario","m",1956,NA,2011,2024,"Progressice Conservative","Babyboom","1943-1960",13,26,2011,55
"fee_amy","Ontario","f",1981,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,37
"ferguson_william","Ontario","m",1954,2011,1990,1994,"CCF/NDP","Babyboom","1943-1960",4,8,1990,36
"ferraro_rich","Ontario","m",1950,NA,1985,1990,"Liberal","Babyboom","1943-1960",5,10,1985,35
"ferreira_paul","Ontario","m",1973,NA,2007,2007,"CCF/NDP","GenerationX","1961-1981",0,0,2007,34
"ferrier_bill","Ontario","m",1932,NA,1967,1977,"CCF/NDP","Silent","1925-1942",10,20,1967,35
"ferris_john","Ontario","m",1933,2015,1975,1977,"Liberal","Silent","1925-1942",2,4,1975,42
"fife_catherine","Ontario","f",1968,NA,2011,2024,"CCF/NDP","GenerationX","1961-1981",13,26,2011,43
"fish_susan","Ontario","f",1945,NA,1981,1987,"Progressice Conservative","Babyboom","1943-1960",6,12,1981,36
"fisher_barb","Ontario","f",1951,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,44
"flaherty_jim","Ontario","m",1949,2014,1995,2005,"Progressice Conservative","Babyboom","1943-1960",10,20,1995,46
"fleet_david","Ontario","m",1954,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,33
"fletcher_derek","Ontario","m",1951,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,39
"flynn_kevin","Ontario","m",1955,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,48
"fonseca_peter","Ontario","m",1966,NA,2003,2011,"Liberal","GenerationX","1961-1981",8,16,2003,37
"ford_doug","Ontario","m",1964,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,54
"fordsr_doug","Ontario","m",1933,2006,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,62
"forster_cindy","Ontario","f",1953,NA,2011,2018,"CCF/NDP","Babyboom","1943-1960",7,14,2011,58
"foulds_jim","Ontario","m",1937,NA,1971,1987,"CCF/NDP","Silent","1925-1942",16,32,1971,34
"fox_gary","Ontario","m",1943,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,52
"frankford_robert","Ontario","m",1939,2015,1990,1995,"CCF/NDP","Silent","1925-1942",5,10,1990,51
"fraser_john","Ontario","m",1959,NA,2011,2024,"Liberal","Babyboom","1943-1960",13,26,2011,52
"french_jennifer","Ontario","f",1978,NA,2014,2024,"CCF/NDP","GenerationX","1961-1981",10,20,2014,36
"froese_tom","Ontario","m",1952,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,43
"fulton_ed","Ontario","m",1938,NA,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,47
"furlong_allan","Ontario","m",1942,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,45
"galt_doug","Ontario","m",1937,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,58
"gaunt_murray","Ontario","m",1935,2009,1963,1981,"Liberal","Silent","1925-1942",18,36,1963,28
"gerretsen_john","Ontario","m",1942,NA,1995,2014,"Liberal","Silent","1925-1942",19,38,1995,53
"ghamari_goldie","Ontario","f",1985,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,33
